Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
218,-0.2114157,-0.2762541,1.180192,-0.1910715,-0.2277905,1.150612,-0.1007785,0.01417117,1.003191,-0.133218,0.1366099,0.9084747,-0.2544767,0.006187304,0.9633595,-0.384403,-0.1521457,0.960151,-0.2981104,-0.3298495,0.9261382,-0.2602786,-0.3766873,0.9087625,-0.009858434,-0.02426866,1.062738,0.1055152,-0.1861322,1.046437,0.05267759,0.05953763,1.046568,0.03506503,0.1414276,1.050357,-0.2881492,-0.2935012,1.213948,-0.05281119,-0.5535475,1.175019,0.1468082,-0.774125,1.129475,0.1797906,-0.8299664,1.070544,-0.1735621,-0.3447734,1.193598,-0.1224988,-0.6858721,1.251786,-0.07918575,-0.9752002,1.288619,-0.05668532,-1.040958,1.235247,
241,-0.2139526,-0.267577,1.185889,-0.1960577,-0.2181496,1.155984,-0.1128601,0.02625044,1.010038,-0.06214054,0.1353691,0.9094784,-0.241474,0.0106415,0.9798195,-0.3853689,-0.149484,0.9737028,-0.3132075,-0.3345012,0.954233,-0.2595279,-0.3936329,0.925854,-0.004703867,-0.02341871,1.076795,0.1044815,-0.189502,1.053563,0.09447812,0.002995118,1.090821,0.09114365,0.06716083,1.106984,-0.2868773,-0.287178,1.21704,-0.04694098,-0.5435551,1.187076,0.1566451,-0.7610911,1.149135,0.1901693,-0.8162583,1.089871,-0.1762865,-0.3355414,1.204764,-0.1237825,-0.6776922,1.255384,-0.07923275,-0.9680072,1.285818,-0.05681226,-1.032761,1.231194,
249,-0.2139526,-0.267577,1.185889,-0.1960577,-0.2181496,1.155984,-0.1128601,0.02625044,1.010038,-0.06214054,0.1353691,0.9094784,-0.241474,0.0106415,0.9798195,-0.3853689,-0.149484,0.9737028,-0.3132075,-0.3345012,0.954233,-0.2595279,-0.3936329,0.925854,-0.004703867,-0.02341871,1.076795,0.1044815,-0.189502,1.053563,0.09447812,0.002995118,1.090821,0.09114365,0.06716083,1.106984,-0.2868773,-0.287178,1.21704,-0.04694098,-0.5435551,1.187076,0.1566451,-0.7610911,1.149135,0.1901693,-0.8162583,1.089871,-0.1762865,-0.3355414,1.204764,-0.1237825,-0.6776922,1.255384,-0.07923275,-0.9680072,1.285818,-0.05681226,-1.032761,1.231194,
300,-0.2128875,-0.2693218,1.192808,-0.1964434,-0.2191654,1.161527,-0.1178807,0.02813284,1.014986,-0.05902986,0.1331869,0.9146258,-0.239477,0.01275037,0.9866968,-0.3849216,-0.1439367,0.9825524,-0.3163271,-0.3295791,0.9540084,-0.2617069,-0.3892493,0.9288236,-0.001349641,-0.02281871,1.086,0.103988,-0.1911823,1.058881,0.09482107,0.002950832,1.088836,0.09176542,0.06766188,1.102565,-0.2837064,-0.2919032,1.227645,-0.04138169,-0.5458716,1.198825,0.1642848,-0.7614201,1.16185,0.1983325,-0.8162044,1.102526,-0.1730573,-0.3374546,1.211299,-0.1296237,-0.677209,1.278877,-0.09276064,-0.9655663,1.323718,-0.07043244,-1.031217,1.270133,
306,-0.2128875,-0.2693218,1.192808,-0.1964434,-0.2191654,1.161527,-0.1178807,0.02813284,1.014986,-0.05902986,0.1331869,0.9146258,-0.239477,0.01275037,0.9866968,-0.3849216,-0.1439367,0.9825524,-0.3163271,-0.3295791,0.9540084,-0.2617069,-0.3892493,0.9288236,-0.001349641,-0.02281871,1.086,0.103988,-0.1911823,1.058881,0.09482107,0.002950832,1.088836,0.09176542,0.06766188,1.102565,-0.2837064,-0.2919032,1.227645,-0.04138169,-0.5458716,1.198825,0.1642848,-0.7614201,1.16185,0.1983325,-0.8162044,1.102526,-0.1730573,-0.3374546,1.211299,-0.1296237,-0.677209,1.278877,-0.09276064,-0.9655663,1.323718,-0.07043244,-1.031217,1.270133,
350,-0.2199609,-0.2357329,1.190438,-0.204179,-0.1906972,1.163244,-0.1266578,0.04225139,1.033963,-0.0347103,0.1754102,0.9262406,-0.2386353,0.01927983,1.003799,-0.3886381,-0.1391727,1.009974,-0.3167993,-0.3210299,0.9641721,-0.2620952,-0.3796255,0.9368089,0.007612565,-0.02221616,1.112516,0.1029834,-0.1952114,1.070346,-0.0007865131,-0.02790774,1.084995,-0.07466853,-0.06313913,1.063202,-0.3073408,-0.256451,1.19884,-0.07775208,-0.5111973,1.264023,0.1171501,-0.7274563,1.306851,0.1548082,-0.785073,1.252638,-0.1690611,-0.3068342,1.227151,-0.08550362,-0.6039098,1.38388,-0.01457009,-0.8561029,1.504424,0.01449715,-0.9248629,1.458554,
356,-0.2199609,-0.2357329,1.190438,-0.204179,-0.1906972,1.163244,-0.1266578,0.04225139,1.033963,-0.0347103,0.1754102,0.9262406,-0.2386353,0.01927983,1.003799,-0.3886381,-0.1391727,1.009974,-0.3167993,-0.3210299,0.9641721,-0.2620952,-0.3796255,0.9368089,0.007612565,-0.02221616,1.112516,0.1029834,-0.1952114,1.070346,-0.0007865131,-0.02790774,1.084995,-0.07466853,-0.06313913,1.063202,-0.3073408,-0.256451,1.19884,-0.07775208,-0.5111973,1.264023,0.1171501,-0.7274563,1.306851,0.1548082,-0.785073,1.252638,-0.1690611,-0.3068342,1.227151,-0.08550362,-0.6039098,1.38388,-0.01457009,-0.8561029,1.504424,0.01449715,-0.9248629,1.458554,
413,-0.2173069,-0.2321331,1.206235,-0.2026461,-0.1846887,1.176298,-0.1285916,0.05595999,1.039622,-0.07709723,0.1772429,0.9505448,-0.2373812,0.02187787,1.016975,-0.3906293,-0.1393243,1.021287,-0.3186724,-0.3211814,0.9762955,-0.2644317,-0.3784814,0.9455431,0.01105327,-0.02310549,1.122954,0.1028256,-0.1977186,1.079054,-0.001884378,-0.0302904,1.087666,-0.07574737,-0.06551272,1.065878,-0.2956941,-0.2608793,1.228949,-0.06825608,-0.5246172,1.262825,0.1248934,-0.7485939,1.279091,0.1599023,-0.8055819,1.22252,-0.1675557,-0.3011721,1.243343,-0.04052714,-0.6038675,1.356853,0.06735055,-0.8609285,1.440747,0.09733504,-0.9258105,1.390104,
419,-0.2173069,-0.2321331,1.206235,-0.2026461,-0.1846887,1.176298,-0.1285916,0.05595999,1.039622,-0.07709723,0.1772429,0.9505448,-0.2373812,0.02187787,1.016975,-0.3906293,-0.1393243,1.021287,-0.3186724,-0.3211814,0.9762955,-0.2644317,-0.3784814,0.9455431,0.01105327,-0.02310549,1.122954,0.1028256,-0.1977186,1.079054,-0.001884378,-0.0302904,1.087666,-0.07574737,-0.06551272,1.065878,-0.2956941,-0.2608793,1.228949,-0.06825608,-0.5246172,1.262825,0.1248934,-0.7485939,1.279091,0.1599023,-0.8055819,1.22252,-0.1675557,-0.3011721,1.243343,-0.04052714,-0.6038675,1.356853,0.06735055,-0.8609285,1.440747,0.09733504,-0.9258105,1.390104,
487,-0.212306,-0.2302685,1.22834,-0.1987413,-0.181521,1.198562,-0.1299016,0.06127809,1.058789,-0.01993914,0.2098725,0.9462084,-0.2405483,0.01817532,1.057631,-0.3940201,-0.1419621,1.067231,-0.3194806,-0.3168954,0.9994735,-0.2669785,-0.371457,0.9615759,0.01849005,-0.02133296,1.159843,0.0993937,-0.2001784,1.109128,-0.008988418,-0.03462797,1.112049,-0.0828444,-0.06984697,1.090264,-0.2934383,-0.2618027,1.241314,-0.06743346,-0.5231736,1.293113,0.1244367,-0.7450682,1.324585,0.1595502,-0.8027439,1.268783,-0.1591055,-0.3001392,1.271733,-0.04021879,-0.6131964,1.366462,0.06071188,-0.8789709,1.434379,0.08879273,-0.9431384,1.381774,
