Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
215,0.2783298,-0.1318967,1.364494,0.2616811,-0.07666253,1.408179,0.2635694,0.2334748,1.398746,0.2661579,0.4221391,1.318454,0.1304823,0.1269616,1.366071,0.02998139,-0.0953611,1.367524,0.04124607,-0.2731597,1.211352,0.04568941,-0.3372991,1.141393,0.4285293,0.1252128,1.4707,0.5796956,-0.06279232,1.637476,0.7137433,-0.2341975,1.553235,0.7744496,-0.2829825,1.498804,0.214073,-0.2006291,1.337273,0.3882241,-0.4667306,1.115468,0.5383725,-0.6961564,0.9113495,0.57563,-0.7032902,0.8241122,0.3480888,-0.2009409,1.374491,0.2131335,-0.4779764,1.138467,0.0967785,-0.7168292,0.9220891,0.1126451,-0.728159,0.8289804,
222,0.2783298,-0.1318967,1.364494,0.2616811,-0.07666253,1.408179,0.2635694,0.2334748,1.398746,0.2661579,0.4221391,1.318454,0.1304823,0.1269616,1.366071,0.02998139,-0.0953611,1.367524,0.04124607,-0.2731597,1.211352,0.04568941,-0.3372991,1.141393,0.4285293,0.1252128,1.4707,0.5796956,-0.06279232,1.637476,0.7137433,-0.2341975,1.553235,0.7744496,-0.2829825,1.498804,0.214073,-0.2006291,1.337273,0.3882241,-0.4667306,1.115468,0.5383725,-0.6961564,0.9113495,0.57563,-0.7032902,0.8241122,0.3480888,-0.2009409,1.374491,0.2131335,-0.4779764,1.138467,0.0967785,-0.7168292,0.9220891,0.1126451,-0.728159,0.8289804,
265,0.2708216,-0.1327115,1.394188,0.2523103,-0.07714838,1.435242,0.2557374,0.2295657,1.42019,0.2575569,0.4190915,1.341516,0.1226782,0.1260808,1.385439,0.01908707,-0.1076167,1.394877,0.01172526,-0.3033356,1.261537,0.01485853,-0.3472217,1.211641,0.4160237,0.1240215,1.504695,0.5590643,-0.07457904,1.65207,0.7008511,-0.2334924,1.552057,0.7615322,-0.2793814,1.496599,0.2078058,-0.2017003,1.36312,0.3741515,-0.4707466,1.168937,0.5239235,-0.7129868,0.9816638,0.5650627,-0.722954,0.8964178,0.3396735,-0.2026478,1.411432,0.217902,-0.4803174,1.196193,0.1082632,-0.7303218,0.9899606,0.1282757,-0.7449322,0.8980656,
271,0.2708216,-0.1327115,1.394188,0.2523103,-0.07714838,1.435242,0.2557374,0.2295657,1.42019,0.2575569,0.4190915,1.341516,0.1226782,0.1260808,1.385439,0.01908707,-0.1076167,1.394877,0.01172526,-0.3033356,1.261537,0.01485853,-0.3472217,1.211641,0.4160237,0.1240215,1.504695,0.5590643,-0.07457904,1.65207,0.7008511,-0.2334924,1.552057,0.7615322,-0.2793814,1.496599,0.2078058,-0.2017003,1.36312,0.3741515,-0.4707466,1.168937,0.5239235,-0.7129868,0.9816638,0.5650627,-0.722954,0.8964178,0.3396735,-0.2026478,1.411432,0.217902,-0.4803174,1.196193,0.1082632,-0.7303218,0.9899606,0.1282757,-0.7449322,0.8980656,
338,0.2673639,-0.1336126,1.400369,0.2486922,-0.07788716,1.441339,0.2511376,0.2305663,1.42789,0.2553343,0.4213269,1.348555,0.1199234,0.1259712,1.392774,0.01640784,-0.1094287,1.399318,0.004936954,-0.310265,1.272834,0.008648911,-0.3589184,1.22453,0.4133347,0.1256347,1.5133,0.549193,-0.08192176,1.659703,0.68708,-0.2428712,1.554602,0.7473303,-0.2945954,1.497489,0.2042966,-0.203055,1.369511,0.3767983,-0.479239,1.174928,0.5291476,-0.7231579,0.9904255,0.5709018,-0.7330116,0.9051289,0.3366655,-0.20323,1.416626,0.2103331,-0.4892684,1.200712,0.09875946,-0.7418905,0.9973698,0.1187998,-0.7567173,0.9052038,
345,0.2673639,-0.1336126,1.400369,0.2486922,-0.07788716,1.441339,0.2511376,0.2305663,1.42789,0.2553343,0.4213269,1.348555,0.1199234,0.1259712,1.392774,0.01640784,-0.1094287,1.399318,0.004936954,-0.310265,1.272834,0.008648911,-0.3589184,1.22453,0.4133347,0.1256347,1.5133,0.549193,-0.08192176,1.659703,0.68708,-0.2428712,1.554602,0.7473303,-0.2945954,1.497489,0.2042966,-0.203055,1.369511,0.3767983,-0.479239,1.174928,0.5291476,-0.7231579,0.9904255,0.5709018,-0.7330116,0.9051289,0.3366655,-0.20323,1.416626,0.2103331,-0.4892684,1.200712,0.09875946,-0.7418905,0.9973698,0.1187998,-0.7567173,0.9052038,
444,0.2595274,-0.1366975,1.416477,0.239909,-0.08101456,1.457461,0.2378069,0.229205,1.445477,0.2485935,0.4217235,1.365369,0.1121045,0.1239174,1.405593,0.010867,-0.1139208,1.406549,-0.01603881,-0.3533471,1.294181,-0.01354563,-0.4126228,1.256999,0.402781,0.1234969,1.526584,0.5152988,-0.1077139,1.680072,0.6388032,-0.2841892,1.579359,0.6945223,-0.3319438,1.531047,0.1974891,-0.2052803,1.388107,0.3477741,-0.4998996,1.228927,0.4847994,-0.7685243,1.071462,0.5269882,-0.7813357,0.9866651,0.3295834,-0.2051418,1.429954,0.2121785,-0.5011901,1.245889,0.1051323,-0.7711177,1.065735,0.1255333,-0.788685,0.9740312,
453,0.2595274,-0.1366975,1.416477,0.239909,-0.08101456,1.457461,0.2378069,0.229205,1.445477,0.2485935,0.4217235,1.365369,0.1121045,0.1239174,1.405593,0.010867,-0.1139208,1.406549,-0.01603881,-0.3533471,1.294181,-0.01354563,-0.4126228,1.256999,0.402781,0.1234969,1.526584,0.5152988,-0.1077139,1.680072,0.6388032,-0.2841892,1.579359,0.6945223,-0.3319438,1.531047,0.1974891,-0.2052803,1.388107,0.3477741,-0.4998996,1.228927,0.4847994,-0.7685243,1.071462,0.5269882,-0.7813357,0.9866651,0.3295834,-0.2051418,1.429954,0.2121785,-0.5011901,1.245889,0.1051323,-0.7711177,1.065735,0.1255333,-0.788685,0.9740312,
472,0.2497828,-0.1427963,1.431767,0.2298756,-0.08616053,1.471999,0.2268793,0.2268293,1.458521,0.2365004,0.419295,1.382979,0.1017849,0.1206967,1.418977,0.0006663962,-0.1206634,1.41466,-0.0252424,-0.3625024,1.297714,-0.02361506,-0.4235109,1.264784,0.3880902,0.1219423,1.539882,0.4930437,-0.1215357,1.692427,0.5868651,-0.3295667,1.624314,0.6390326,-0.3930764,1.579061,0.1899787,-0.2093675,1.402443,0.325391,-0.5119055,1.266407,0.4519669,-0.7947013,1.127157,0.4944937,-0.8103455,1.042769,0.3180491,-0.2116368,1.446751,0.2151154,-0.4653541,1.310217,0.08493975,-0.786219,1.129336,0.1034994,-0.8098639,1.036491,
477,0.2497828,-0.1427963,1.431767,0.2298756,-0.08616053,1.471999,0.2268793,0.2268293,1.458521,0.2365004,0.419295,1.382979,0.1017849,0.1206967,1.418977,0.0006663962,-0.1206634,1.41466,-0.0252424,-0.3625024,1.297714,-0.02361506,-0.4235109,1.264784,0.3880902,0.1219423,1.539882,0.4930437,-0.1215357,1.692427,0.5868651,-0.3295667,1.624314,0.6390326,-0.3930764,1.579061,0.1899787,-0.2093675,1.402443,0.325391,-0.5119055,1.266407,0.4519669,-0.7947013,1.127157,0.4944937,-0.8103455,1.042769,0.3180491,-0.2116368,1.446751,0.2151154,-0.4653541,1.310217,0.08493975,-0.786219,1.129336,0.1034994,-0.8098639,1.036491,
521,0.2374453,-0.1527079,1.443374,0.2170417,-0.09515343,1.484205,0.2126868,0.2250501,1.474971,0.2264546,0.4168392,1.397284,0.09123662,0.1167744,1.431545,-0.01301738,-0.1246269,1.422051,-0.03513002,-0.3648549,1.299962,-0.03181396,-0.4251207,1.264955,0.3684512,0.1192107,1.551452,0.4580869,-0.1368386,1.688983,0.545627,-0.3528173,1.677259,0.5878654,-0.4286758,1.640206,0.1791319,-0.2157528,1.414398,0.3092982,-0.5149422,1.278722,0.4326084,-0.7983729,1.138219,0.4754896,-0.8133705,1.053981,0.3053298,-0.2203702,1.456372,0.2001032,-0.4727448,1.329523,0.06523633,-0.7962085,1.158911,0.08372848,-0.8199982,1.066622,
527,0.2374453,-0.1527079,1.443374,0.2170417,-0.09515343,1.484205,0.2126868,0.2250501,1.474971,0.2264546,0.4168392,1.397284,0.09123662,0.1167744,1.431545,-0.01301738,-0.1246269,1.422051,-0.03513002,-0.3648549,1.299962,-0.03181396,-0.4251207,1.264955,0.3684512,0.1192107,1.551452,0.4580869,-0.1368386,1.688983,0.545627,-0.3528173,1.677259,0.5878654,-0.4286758,1.640206,0.1791319,-0.2157528,1.414398,0.3092982,-0.5149422,1.278722,0.4326084,-0.7983729,1.138219,0.4754896,-0.8133705,1.053981,0.3053298,-0.2203702,1.456372,0.2001032,-0.4727448,1.329523,0.06523633,-0.7962085,1.158911,0.08372848,-0.8199982,1.066622,
