Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
225,-0.01521745,-0.1813403,1.561829,-0.01854932,-0.1220656,1.595423,-0.01935178,0.1946008,1.589705,0.0139184,0.3765627,1.477636,-0.1901279,0.1206848,1.59115,-0.28715,-0.08106827,1.504766,-0.08937418,0.03639121,1.419763,-0.05605875,0.06331646,1.399652,0.1548379,0.1148459,1.619464,0.3028312,0.008512927,1.46797,0.09827868,0.07381454,1.417032,0.03009448,0.09558175,1.404119,-0.09155928,-0.2567703,1.546236,-0.1489288,-0.6904558,1.504812,-0.1925296,-1.020057,1.458654,-0.1912878,-1.056164,1.36922,0.06279423,-0.2582343,1.561696,0.1162129,-0.6877486,1.479551,0.1568111,-1.014179,1.402444,0.1687762,-1.044341,1.311609,
236,-0.01521745,-0.1813403,1.561829,-0.01854932,-0.1220656,1.595423,-0.01935178,0.1946008,1.589705,0.0139184,0.3765627,1.477636,-0.1901279,0.1206848,1.59115,-0.28715,-0.08106827,1.504766,-0.08937418,0.03639121,1.419763,-0.05605875,0.06331646,1.399652,0.1548379,0.1148459,1.619464,0.3028312,0.008512927,1.46797,0.09827868,0.07381454,1.417032,0.03009448,0.09558175,1.404119,-0.09155928,-0.2567703,1.546236,-0.1489288,-0.6904558,1.504812,-0.1925296,-1.020057,1.458654,-0.1912878,-1.056164,1.36922,0.06279423,-0.2582343,1.561696,0.1162129,-0.6877486,1.479551,0.1568111,-1.014179,1.402444,0.1687762,-1.044341,1.311609,
259,-0.02068723,-0.1816686,1.575179,-0.02120885,-0.1234275,1.610803,-0.02194793,0.1911044,1.607768,0.009468157,0.3753274,1.493208,-0.1969343,0.1235188,1.61812,-0.3059875,-0.08507443,1.541375,-0.1455655,0.01534716,1.458355,-0.08787911,0.04619195,1.427234,0.1519604,0.1137691,1.619914,0.3014399,0.00794939,1.462497,0.07514525,0.07392603,1.420789,-0.0002863184,0.09591825,1.410953,-0.09813149,-0.2560329,1.561879,-0.1518664,-0.6928049,1.534017,-0.1927049,-1.024752,1.498167,-0.1978363,-1.061988,1.408881,0.05742211,-0.2598924,1.571056,0.1110748,-0.68975,1.479822,0.1518508,-1.016442,1.395808,0.1574811,-1.045547,1.30358,
265,-0.02068723,-0.1816686,1.575179,-0.02120885,-0.1234275,1.610803,-0.02194793,0.1911044,1.607768,0.009468157,0.3753274,1.493208,-0.1969343,0.1235188,1.61812,-0.3059875,-0.08507443,1.541375,-0.1455655,0.01534716,1.458355,-0.08787911,0.04619195,1.427234,0.1519604,0.1137691,1.619914,0.3014399,0.00794939,1.462497,0.07514525,0.07392603,1.420789,-0.0002863184,0.09591825,1.410953,-0.09813149,-0.2560329,1.561879,-0.1518664,-0.6928049,1.534017,-0.1927049,-1.024752,1.498167,-0.1978363,-1.061988,1.408881,0.05742211,-0.2598924,1.571056,0.1110748,-0.68975,1.479822,0.1518508,-1.016442,1.395808,0.1574811,-1.045547,1.30358,
276,-0.02515047,-0.1809462,1.588873,-0.02349662,-0.1231181,1.625418,-0.02674764,0.1897382,1.620286,0.003521648,0.3736983,1.507295,-0.2025829,0.1257372,1.643309,-0.3032299,-0.07817152,1.554353,-0.1504878,0.009697616,1.47289,-0.09656626,0.04608074,1.436621,0.1471866,0.1140546,1.621771,0.289907,0.006325532,1.453567,0.0729316,0.07275196,1.423309,0.0006064475,0.0948941,1.417286,-0.1023537,-0.2549184,1.577905,-0.1465747,-0.6590266,1.548683,-0.1828818,-0.9908156,1.510774,-0.1930125,-1.027345,1.421811,0.05301107,-0.2596889,1.582078,0.100272,-0.6553349,1.487552,0.1390752,-0.9801763,1.396026,0.1387822,-1.00858,1.303589,
282,-0.02515047,-0.1809462,1.588873,-0.02349662,-0.1231181,1.625418,-0.02674764,0.1897382,1.620286,0.003521648,0.3736983,1.507295,-0.2025829,0.1257372,1.643309,-0.3032299,-0.07817152,1.554353,-0.1504878,0.009697616,1.47289,-0.09656626,0.04608074,1.436621,0.1471866,0.1140546,1.621771,0.289907,0.006325532,1.453567,0.0729316,0.07275196,1.423309,0.0006064475,0.0948941,1.417286,-0.1023537,-0.2549184,1.577905,-0.1465747,-0.6590266,1.548683,-0.1828818,-0.9908156,1.510774,-0.1930125,-1.027345,1.421811,0.05301107,-0.2596889,1.582078,0.100272,-0.6553349,1.487552,0.1390752,-0.9801763,1.396026,0.1387822,-1.00858,1.303589,
298,-0.0305961,-0.1838754,1.602439,-0.02621196,-0.1266847,1.640591,-0.03165113,0.1864931,1.639014,-0.00387859,0.3725685,1.523198,-0.2080019,0.1264687,1.672727,-0.3235956,-0.08264807,1.607669,-0.1961921,0.02447303,1.50226,-0.1163877,0.04103289,1.458638,0.1420071,0.1143324,1.624676,0.2837372,0.002639728,1.449474,0.09610851,0.03698127,1.433692,0.0335656,0.04842845,1.432495,-0.1080332,-0.2578383,1.593524,-0.1430083,-0.6421733,1.564586,-0.1732559,-0.9745584,1.526176,-0.1890139,-1.010416,1.437758,0.047532,-0.2623798,1.591997,0.08802599,-0.6373904,1.496475,0.1230465,-0.9617114,1.400481,0.1160827,-0.9892884,1.308053,
308,-0.0305961,-0.1838754,1.602439,-0.02621196,-0.1266847,1.640591,-0.03165113,0.1864931,1.639014,-0.00387859,0.3725685,1.523198,-0.2080019,0.1264687,1.672727,-0.3235956,-0.08264807,1.607669,-0.1961921,0.02447303,1.50226,-0.1163877,0.04103289,1.458638,0.1420071,0.1143324,1.624676,0.2837372,0.002639728,1.449474,0.09610851,0.03698127,1.433692,0.0335656,0.04842845,1.432495,-0.1080332,-0.2578383,1.593524,-0.1430083,-0.6421733,1.564586,-0.1732559,-0.9745584,1.526176,-0.1890139,-1.010416,1.437758,0.047532,-0.2623798,1.591997,0.08802599,-0.6373904,1.496475,0.1230465,-0.9617114,1.400481,0.1160827,-0.9892884,1.308053,
326,-0.03722426,-0.1857968,1.617256,-0.02965203,-0.129009,1.655553,-0.03428555,0.181958,1.651171,-0.01102484,0.368964,1.53815,-0.2113492,0.1242365,1.698855,-0.3241307,-0.08488903,1.631232,-0.1932788,0.00911881,1.51448,-0.1247519,0.03390578,1.47608,0.1361077,0.1133891,1.628231,0.2665514,-0.006264769,1.441854,0.07861657,0.03161364,1.44141,0.01597162,0.04423978,1.445327,-0.1148858,-0.2624668,1.612847,-0.1342095,-0.5769696,1.577168,-0.1575965,-0.9576032,1.52481,-0.1775493,-0.9976665,1.436558,0.0391196,-0.2617211,1.603927,0.06876945,-0.6228933,1.50892,0.09529267,-0.9459792,1.410905,0.08197557,-0.9735946,1.31966,
333,-0.03722426,-0.1857968,1.617256,-0.02965203,-0.129009,1.655553,-0.03428555,0.181958,1.651171,-0.01102484,0.368964,1.53815,-0.2113492,0.1242365,1.698855,-0.3241307,-0.08488903,1.631232,-0.1932788,0.00911881,1.51448,-0.1247519,0.03390578,1.47608,0.1361077,0.1133891,1.628231,0.2665514,-0.006264769,1.441854,0.07861657,0.03161364,1.44141,0.01597162,0.04423978,1.445327,-0.1148858,-0.2624668,1.612847,-0.1342095,-0.5769696,1.577168,-0.1575965,-0.9576032,1.52481,-0.1775493,-0.9976665,1.436558,0.0391196,-0.2617211,1.603927,0.06876945,-0.6228933,1.50892,0.09529267,-0.9459792,1.410905,0.08197557,-0.9735946,1.31966,
