HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.05271585,-0.2399358,1.269621,-0.05234063,-0.1730083,1.298005,-0.05662089,0.1766727,1.29636,-0.05999504,0.3365309,1.295417,-0.1927493,0.0397708,1.267952,-0.2568533,-0.1719887,1.338971,-0.280444,-0.3736913,1.462458,-0.2987885,-0.4266777,1.492979,0.07118917,0.04033224,1.257331,0.1210222,-0.2032189,1.259087,0.1524814,-0.3932691,1.300431,0.1791188,-0.4619118,1.306305,-0.1125041,-0.2986102,1.266121,-0.2750649,-0.5336853,1.430978,-0.4215576,-0.7455245,1.566246,-0.4252724,-0.7875011,1.489306,0.008250619,-0.2994842,1.262437,0.1316052,-0.4897237,1.520563,-0.08450654,-0.4005072,1.23693,-0.1312063,-0.4162499,1.180971,
-0.05679681,-0.2425792,1.290908,-0.05528257,-0.1754634,1.320649,-0.05929407,0.1757637,1.31766,-0.06112024,0.3354986,1.318479,-0.197816,0.03940227,1.298218,-0.2600827,-0.1703767,1.372249,-0.2725372,-0.3362289,1.480514,-0.2908365,-0.3890848,1.510959,0.06482202,0.03762913,1.279568,0.118624,-0.2058136,1.269455,0.1719959,-0.4197396,1.290642,0.1876094,-0.4799202,1.304429,-0.1164864,-0.30088,1.288491,-0.2764127,-0.5375201,1.451596,-0.4214295,-0.7520989,1.586269,-0.4275637,-0.7940315,1.509512,0.003691085,-0.3016744,1.282238,0.1249428,-0.497861,1.540034,-0.09101806,-0.4087054,1.256573,-0.1377383,-0.4241115,1.20059,
-0.05679681,-0.2425792,1.290908,-0.05528257,-0.1754634,1.320649,-0.05929407,0.1757637,1.31766,-0.06112024,0.3354986,1.318479,-0.197816,0.03940227,1.298218,-0.2600827,-0.1703767,1.372249,-0.2725372,-0.3362289,1.480514,-0.2908365,-0.3890848,1.510959,0.06482202,0.03762913,1.279568,0.118624,-0.2058136,1.269455,0.1719959,-0.4197396,1.290642,0.1876094,-0.4799202,1.304429,-0.1164864,-0.30088,1.288491,-0.2764127,-0.5375201,1.451596,-0.4214295,-0.7520989,1.586269,-0.4275637,-0.7940315,1.509512,0.003691085,-0.3016744,1.282238,0.1249428,-0.497861,1.540034,-0.09101806,-0.4087054,1.256573,-0.1377383,-0.4241115,1.20059,
-0.06192124,-0.2452539,1.312436,-0.05995243,-0.178339,1.344625,-0.06263988,0.1752374,1.344757,-0.06528596,0.3355924,1.351195,-0.1996427,0.04093204,1.323868,-0.2669297,-0.1691824,1.414105,-0.2715227,-0.3275013,1.524121,-0.289836,-0.3803974,1.55459,0.06221219,0.0349852,1.304409,0.1178295,-0.2069831,1.280326,0.1682651,-0.4000826,1.284287,0.1928891,-0.482156,1.293899,-0.1222068,-0.3025535,1.310163,-0.2739002,-0.5443383,1.480997,-0.4080425,-0.7581484,1.618551,-0.4143148,-0.7999187,1.541771,-0.001377574,-0.3051515,1.302454,0.1182938,-0.5117244,1.567953,-0.09751774,-0.4226296,1.284662,-0.1442557,-0.4377086,1.228657,
-0.06192124,-0.2452539,1.312436,-0.05995243,-0.178339,1.344625,-0.06263988,0.1752374,1.344757,-0.06528596,0.3355924,1.351195,-0.1996427,0.04093204,1.323868,-0.2669297,-0.1691824,1.414105,-0.2715227,-0.3275013,1.524121,-0.289836,-0.3803974,1.55459,0.06221219,0.0349852,1.304409,0.1178295,-0.2069831,1.280326,0.1682651,-0.4000826,1.284287,0.1928891,-0.482156,1.293899,-0.1222068,-0.3025535,1.310163,-0.2739002,-0.5443383,1.480997,-0.4080425,-0.7581484,1.618551,-0.4143148,-0.7999187,1.541771,-0.001377574,-0.3051515,1.302454,0.1182938,-0.5117244,1.567953,-0.09751774,-0.4226296,1.284662,-0.1442557,-0.4377086,1.228657,
-0.06569993,-0.2476426,1.337933,-0.06310274,-0.1808895,1.372326,-0.0656077,0.174126,1.373192,-0.0669717,0.3316095,1.366987,-0.2018848,0.03951013,1.355306,-0.2659039,-0.1738488,1.451383,-0.2759432,-0.3288729,1.565446,-0.2942016,-0.3816108,1.595824,0.06105082,0.03200742,1.332412,0.117524,-0.2077483,1.296054,0.1823282,-0.4118141,1.284373,0.1943768,-0.4736694,1.292508,-0.1255678,-0.3055145,1.335204,-0.2825951,-0.5533651,1.501362,-0.4176214,-0.7664894,1.630413,-0.4248641,-0.8081649,1.553714,-0.005804703,-0.3074097,1.327296,0.05663041,-0.5783693,1.473886,0.1187147,-0.8478063,1.607512,0.111472,-0.8894818,1.530814,
-0.06569993,-0.2476426,1.337933,-0.06310274,-0.1808895,1.372326,-0.0656077,0.174126,1.373192,-0.0669717,0.3316095,1.366987,-0.2018848,0.03951013,1.355306,-0.2659039,-0.1738488,1.451383,-0.2759432,-0.3288729,1.565446,-0.2942016,-0.3816108,1.595824,0.06105082,0.03200742,1.332412,0.117524,-0.2077483,1.296054,0.1823282,-0.4118141,1.284373,0.1943768,-0.4736694,1.292508,-0.1255678,-0.3055145,1.335204,-0.2825951,-0.5533651,1.501362,-0.4176214,-0.7664894,1.630413,-0.4248641,-0.8081649,1.553714,-0.005804703,-0.3074097,1.327296,0.05663041,-0.5783693,1.473886,0.1187147,-0.8478063,1.607512,0.111472,-0.8894818,1.530814,
-0.06769378,-0.2482088,1.366982,-0.06508971,-0.1813206,1.40267,-0.06610627,0.1747162,1.401017,-0.06699854,0.3359233,1.414987,-0.2014302,0.04094014,1.379825,-0.2700382,-0.1772458,1.49432,-0.273785,-0.3325398,1.608075,-0.2919857,-0.3851111,1.638356,0.06230595,0.03024928,1.359717,0.1178539,-0.208085,1.316786,0.1823042,-0.4107169,1.285989,0.1959768,-0.4722305,1.2924,-0.1275312,-0.3062785,1.366704,-0.284168,-0.5599773,1.529557,-0.4166873,-0.7746139,1.653327,-0.4229493,-0.8163092,1.576598,-0.008275671,-0.3084569,1.354337,0.06296656,-0.6013856,1.490055,0.1271422,-0.8652585,1.598989,0.1208802,-0.9069538,1.522261,
-0.06769378,-0.2482088,1.366982,-0.06508971,-0.1813206,1.40267,-0.06610627,0.1747162,1.401017,-0.06699854,0.3359233,1.414987,-0.2014302,0.04094014,1.379825,-0.2700382,-0.1772458,1.49432,-0.273785,-0.3325398,1.608075,-0.2919857,-0.3851111,1.638356,0.06230595,0.03024928,1.359717,0.1178539,-0.208085,1.316786,0.1823042,-0.4107169,1.285989,0.1959768,-0.4722305,1.2924,-0.1275312,-0.3062785,1.366704,-0.284168,-0.5599773,1.529557,-0.4166873,-0.7746139,1.653327,-0.4229493,-0.8163092,1.576598,-0.008275671,-0.3084569,1.354337,0.06296656,-0.6013856,1.490055,0.1271422,-0.8652585,1.598989,0.1208802,-0.9069538,1.522261,
-0.0681392,-0.2478598,1.399041,-0.06546478,-0.1807214,1.436063,-0.06741975,0.1772371,1.432931,-0.06597123,0.335919,1.435442,-0.2016722,0.04056649,1.411776,-0.2694533,-0.1642114,1.50323,-0.281359,-0.3324026,1.656842,-0.2994975,-0.384794,1.68702,0.06501617,0.02920104,1.390455,0.1184026,-0.2044515,1.341269,0.1838292,-0.4103867,1.29811,0.1995742,-0.4715053,1.299193,-0.1283868,-0.306849,1.396039,-0.2844226,-0.5682486,1.561574,-0.410748,-0.7798756,1.681116,-0.4172901,-0.8215625,1.604441,-0.008041173,-0.3085462,1.388972,0.05782431,-0.6127644,1.502412,0.1171446,-0.886752,1.591248,0.1106025,-0.9284388,1.514573,
