Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
238,-0.09578992,-0.1898854,1.505275,-0.1046108,-0.1294005,1.528239,-0.1146283,0.1928236,1.546003,-0.08776949,0.3987777,1.461362,-0.2665803,0.09960824,1.515441,-0.3343641,-0.1299292,1.458374,-0.2923032,-0.3426669,1.313668,-0.2743011,-0.4118087,1.269227,0.05316902,0.1078429,1.611061,0.096608,-0.1631609,1.692899,0.1137427,-0.3822433,1.684254,0.1192345,-0.4438933,1.690323,-0.1643689,-0.2649873,1.48076,-0.218594,-0.6915734,1.428861,-0.2598051,-1.015779,1.375167,-0.2415154,-1.050277,1.288548,-0.02012058,-0.2605921,1.511796,0.03112324,-0.6632594,1.352459,0.07006855,-0.9692866,1.217112,0.09694654,-0.9886733,1.128065,
243,-0.09578992,-0.1898854,1.505275,-0.1046108,-0.1294005,1.528239,-0.1146283,0.1928236,1.546003,-0.08776949,0.3987777,1.461362,-0.2665803,0.09960824,1.515441,-0.3343641,-0.1299292,1.458374,-0.2923032,-0.3426669,1.313668,-0.2743011,-0.4118087,1.269227,0.05316902,0.1078429,1.611061,0.096608,-0.1631609,1.692899,0.1137427,-0.3822433,1.684254,0.1192345,-0.4438933,1.690323,-0.1643689,-0.2649873,1.48076,-0.218594,-0.6915734,1.428861,-0.2598051,-1.015779,1.375167,-0.2415154,-1.050277,1.288548,-0.02012058,-0.2605921,1.511796,0.03112324,-0.6632594,1.352459,0.07006855,-0.9692866,1.217112,0.09694654,-0.9886733,1.128065,
278,-0.09907141,-0.1845603,1.518821,-0.1080907,-0.1242751,1.545581,-0.1187168,0.1989606,1.565432,-0.09146994,0.4061548,1.484374,-0.2719182,0.1048885,1.536039,-0.3397869,-0.1253012,1.480169,-0.310503,-0.3441678,1.340086,-0.3001483,-0.4157456,1.298887,0.04944403,0.1111269,1.621934,0.09752335,-0.1606794,1.699144,0.1201618,-0.3800068,1.680913,0.1189072,-0.4413282,1.676126,-0.1663385,-0.2596455,1.493834,-0.2253675,-0.6850079,1.446133,-0.2702295,-1.008283,1.395546,-0.2550305,-1.042777,1.308558,-0.0241566,-0.2555851,1.522296,0.04920357,-0.6654799,1.399462,0.1049573,-0.977,1.291775,0.1319902,-0.9984531,1.203475,
303,-0.09907141,-0.1845603,1.518821,-0.1080907,-0.1242751,1.545581,-0.1187168,0.1989606,1.565432,-0.09146994,0.4061548,1.484374,-0.2719182,0.1048885,1.536039,-0.3397869,-0.1253012,1.480169,-0.310503,-0.3441678,1.340086,-0.3001483,-0.4157456,1.298887,0.04944403,0.1111269,1.621934,0.09752335,-0.1606794,1.699144,0.1201618,-0.3800068,1.680913,0.1189072,-0.4413282,1.676126,-0.1663385,-0.2596455,1.493834,-0.2253675,-0.6850079,1.446133,-0.2702295,-1.008283,1.395546,-0.2550305,-1.042777,1.308558,-0.0241566,-0.2555851,1.522296,0.04920357,-0.6654799,1.399462,0.1049573,-0.977,1.291775,0.1319902,-0.9984531,1.203475,
321,-0.09884563,-0.1809479,1.53064,-0.1081448,-0.121219,1.560951,-0.1223659,0.2050135,1.587031,-0.09546785,0.4130706,1.510159,-0.2758987,0.109948,1.558284,-0.3447821,-0.1253464,1.500598,-0.3337559,-0.3442163,1.367703,-0.3248831,-0.413786,1.328152,0.04555934,0.1144058,1.633884,0.09966122,-0.162635,1.704591,0.1350981,-0.3796396,1.6652,0.09612095,-0.4242492,1.670902,-0.1651847,-0.2563691,1.504981,-0.2514732,-0.6781284,1.47041,-0.3170525,-0.9986654,1.429727,-0.3080953,-1.034721,1.342467,-0.02397558,-0.2509614,1.532103,0.05134104,-0.6604303,1.408324,0.1085817,-0.9716268,1.299843,0.1335958,-0.9918487,1.210625,
327,-0.09884563,-0.1809479,1.53064,-0.1081448,-0.121219,1.560951,-0.1223659,0.2050135,1.587031,-0.09546785,0.4130706,1.510159,-0.2758987,0.109948,1.558284,-0.3447821,-0.1253464,1.500598,-0.3337559,-0.3442163,1.367703,-0.3248831,-0.413786,1.328152,0.04555934,0.1144058,1.633884,0.09966122,-0.162635,1.704591,0.1350981,-0.3796396,1.6652,0.09612095,-0.4242492,1.670902,-0.1651847,-0.2563691,1.504981,-0.2514732,-0.6781284,1.47041,-0.3170525,-0.9986654,1.429727,-0.3080953,-1.034721,1.342467,-0.02397558,-0.2509614,1.532103,0.05134104,-0.6604303,1.408324,0.1085817,-0.9716268,1.299843,0.1335958,-0.9918487,1.210625,
351,-0.09736568,-0.1776588,1.543425,-0.1071071,-0.1185145,1.576524,-0.1236696,0.2083158,1.603908,-0.09822825,0.4167027,1.533527,-0.2784713,0.112048,1.579721,-0.3511339,-0.1297585,1.520472,-0.3540276,-0.3496576,1.390153,-0.3471303,-0.4224244,1.34636,0.04461753,0.1165265,1.649774,0.1045908,-0.1650283,1.710138,0.1372166,-0.3798369,1.648924,0.1412204,-0.4567849,1.612546,-0.1631114,-0.2537764,1.516669,-0.257138,-0.6771358,1.477779,-0.3300831,-1.005575,1.43331,-0.3234817,-1.040777,1.344682,-0.02213323,-0.2471824,1.543269,0.05061429,-0.6633279,1.429611,0.1070513,-0.9861709,1.327137,0.1309437,-1.007438,1.237057,
358,-0.09736568,-0.1776588,1.543425,-0.1071071,-0.1185145,1.576524,-0.1236696,0.2083158,1.603908,-0.09822825,0.4167027,1.533527,-0.2784713,0.112048,1.579721,-0.3511339,-0.1297585,1.520472,-0.3540276,-0.3496576,1.390153,-0.3471303,-0.4224244,1.34636,0.04461753,0.1165265,1.649774,0.1045908,-0.1650283,1.710138,0.1372166,-0.3798369,1.648924,0.1412204,-0.4567849,1.612546,-0.1631114,-0.2537764,1.516669,-0.257138,-0.6771358,1.477779,-0.3300831,-1.005575,1.43331,-0.3234817,-1.040777,1.344682,-0.02213323,-0.2471824,1.543269,0.05061429,-0.6633279,1.429611,0.1070513,-0.9861709,1.327137,0.1309437,-1.007438,1.237057,
376,-0.09703166,-0.1806428,1.567468,-0.1052069,-0.1231292,1.606645,-0.1241381,0.2102843,1.656917,-0.1044407,0.4185656,1.59371,-0.2777755,0.1064537,1.633869,-0.3663969,-0.1408981,1.572137,-0.3998213,-0.3574534,1.44588,-0.4004841,-0.4304243,1.39946,0.04578771,0.1146587,1.680365,0.1157713,-0.1644165,1.715154,0.1605881,-0.3844647,1.622379,0.1567098,-0.4654955,1.590436,-0.1623315,-0.2557052,1.540558,-0.1966457,-0.6917855,1.495077,-0.2234401,-1.0323,1.445224,-0.2159956,-1.064659,1.354601,-0.02196754,-0.2490966,1.559485,0.05415302,-0.6778088,1.493807,0.1135921,-1.01257,1.428182,0.1338255,-1.038455,1.337433,
382,-0.09703166,-0.1806428,1.567468,-0.1052069,-0.1231292,1.606645,-0.1241381,0.2102843,1.656917,-0.1044407,0.4185656,1.59371,-0.2777755,0.1064537,1.633869,-0.3663969,-0.1408981,1.572137,-0.3998213,-0.3574534,1.44588,-0.4004841,-0.4304243,1.39946,0.04578771,0.1146587,1.680365,0.1157713,-0.1644165,1.715154,0.1605881,-0.3844647,1.622379,0.1567098,-0.4654955,1.590436,-0.1623315,-0.2557052,1.540558,-0.1966457,-0.6917855,1.495077,-0.2234401,-1.0323,1.445224,-0.2159956,-1.064659,1.354601,-0.02196754,-0.2490966,1.559485,0.05415302,-0.6778088,1.493807,0.1135921,-1.01257,1.428182,0.1338255,-1.038455,1.337433,
