Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z,drop_this_col
0,0.1157999,-0.1694027,1.538251,0.1100626,-0.120151,1.595847,0.1113523,0.2035141,1.634257,0.1364845,0.408121,1.559911,-0.05106818,0.1109369,1.595982,0.1007141,-0.09797274,1.507751,0.08059409,-0.2069454,1.332883,0.006667599,-0.1690254,1.289732,0.276297,0.1026541,1.630615,0.4389887,-0.07395743,1.622469,0.2191605,-0.06831627,1.460365,0.1427931,-0.02900983,1.423108,0.04299185,-0.2387367,1.509169,0.02853249,-0.6923916,1.407523,-0.07421005,-0.4359359,1.496866,-0.1163356,-0.4775387,1.39592,0.1903062,-0.2424639,1.525906,0.5733104,-0.3292853,1.532297,0.199871,-0.5431356,1.427052,0.08885808,-0.5341126,1.391134,
25,0.1157999,-0.1694027,1.538251,0.1100626,-0.120151,1.595847,0.1113523,0.2035141,1.634257,0.1364845,0.408121,1.559911,-0.05106818,0.1109369,1.595982,0.1007141,-0.09797274,1.507751,0.08059409,-0.2069454,1.332883,0.006667599,-0.1690254,1.289732,0.276297,0.1026541,1.630615,0.4389887,-0.07395743,1.622469,0.2191605,-0.06831627,1.460365,0.1427931,-0.02900983,1.423108,0.04299185,-0.2387367,1.509169,0.02853249,-0.6923916,1.407523,-0.07421005,-0.4359359,1.496866,-0.1163356,-0.4775387,1.39592,0.1903062,-0.2424639,1.525906,0.5733104,-0.3292853,1.532297,0.199871,-0.5431356,1.427052,0.08885808,-0.5341126,1.391134,
36,0.1145557,-0.1702249,1.540014,0.1101217,-0.1210556,1.597803,0.1110607,0.2027866,1.636945,0.1341746,0.4077073,1.563856,-0.05250501,0.1090718,1.60397,0.09906518,-0.09897425,1.510528,0.08930702,-0.2272349,1.348875,0.01263175,-0.1873054,1.31249,0.2762347,0.1026569,1.630767,0.4393247,-0.07381012,1.61841,0.2103827,-0.05919442,1.47035,0.1289889,-0.05407093,1.424024,0.04096238,-0.2401052,1.512371,0.02555332,-0.693942,1.407429,-0.09723748,-0.4641907,1.530363,-0.1249554,-0.4887773,1.419129,0.1893176,-0.2428948,1.526567,0.4533502,-0.5349867,1.502876,0.2019393,-0.6879938,1.423547,0.1009286,-0.637646,1.391802,
42,0.1145557,-0.1702249,1.540014,0.1101217,-0.1210556,1.597803,0.1110607,0.2027866,1.636945,0.1341746,0.4077073,1.563856,-0.05250501,0.1090718,1.60397,0.09906518,-0.09897425,1.510528,0.08930702,-0.2272349,1.348875,0.01263175,-0.1873054,1.31249,0.2762347,0.1026569,1.630767,0.4393247,-0.07381012,1.61841,0.2103827,-0.05919442,1.47035,0.1289889,-0.05407093,1.424024,0.04096238,-0.2401052,1.512371,0.02555332,-0.693942,1.407429,-0.09723748,-0.4641907,1.530363,-0.1249554,-0.4887773,1.419129,0.1893176,-0.2428948,1.526567,0.4533502,-0.5349867,1.502876,0.2019393,-0.6879938,1.423547,0.1009286,-0.637646,1.391802,
72,0.1135857,-0.1690407,1.544279,0.1122725,-0.1207141,1.60258,0.1092486,0.2013628,1.644907,0.1281815,0.4060441,1.5719,-0.0569123,0.1058005,1.626733,0.09396085,-0.09687027,1.521847,0.08868057,-0.2249344,1.36113,0.00908576,-0.1868762,1.330668,0.2760519,0.1026673,1.630488,0.4386895,-0.07233804,1.607802,0.309755,-0.2556028,1.453578,0.2279778,-0.2223824,1.423237,0.03965008,-0.239039,1.519661,0.02680886,-0.688841,1.406358,-0.1723842,-0.4805353,1.306577,-0.1276882,-0.5538391,1.314656,0.1889391,-0.2420698,1.527355,0.4548341,-0.5296746,1.499778,0.2079909,-0.6865789,1.418814,0.1061716,-0.638694,1.387962,
79,0.1135857,-0.1690407,1.544279,0.1122725,-0.1207141,1.60258,0.1092486,0.2013628,1.644907,0.1281815,0.4060441,1.5719,-0.0569123,0.1058005,1.626733,0.09396085,-0.09687027,1.521847,0.08868057,-0.2249344,1.36113,0.00908576,-0.1868762,1.330668,0.2760519,0.1026673,1.630488,0.4386895,-0.07233804,1.607802,0.309755,-0.2556028,1.453578,0.2279778,-0.2223824,1.423237,0.03965008,-0.239039,1.519661,0.02680886,-0.688841,1.406358,-0.1723842,-0.4805353,1.306577,-0.1276882,-0.5538391,1.314656,0.1889391,-0.2420698,1.527355,0.4548341,-0.5296746,1.499778,0.2079909,-0.6865789,1.418814,0.1061716,-0.638694,1.387962,
104,0.1116338,-0.1679834,1.552148,0.1127721,-0.1204868,1.61078,0.1072706,0.1994218,1.655464,0.1170503,0.4028615,1.584397,-0.05821414,0.1000711,1.643703,0.09389462,-0.09652064,1.529794,0.08537442,-0.2258281,1.371297,0.08253436,-0.2689306,1.322599,0.2753156,0.102741,1.630532,0.4372666,-0.07248719,1.597306,0.3097568,-0.2579299,1.446488,0.2258535,-0.2267792,1.421207,0.03754035,-0.238857,1.532046,0.03867823,-0.6890813,1.42782,-0.1622896,-0.4922388,1.308736,-0.1565264,-0.5777037,1.301976,0.1874681,-0.2402563,1.530167,0.452752,-0.5259246,1.494043,0.2082331,-0.6851729,1.415285,0.1054702,-0.6404808,1.384351,
110,0.1116338,-0.1679834,1.552148,0.1127721,-0.1204868,1.61078,0.1072706,0.1994218,1.655464,0.1170503,0.4028615,1.584397,-0.05821414,0.1000711,1.643703,0.09389462,-0.09652064,1.529794,0.08537442,-0.2258281,1.371297,0.08253436,-0.2689306,1.322599,0.2753156,0.102741,1.630532,0.4372666,-0.07248719,1.597306,0.3097568,-0.2579299,1.446488,0.2258535,-0.2267792,1.421207,0.03754035,-0.238857,1.532046,0.03867823,-0.6890813,1.42782,-0.1622896,-0.4922388,1.308736,-0.1565264,-0.5777037,1.301976,0.1874681,-0.2402563,1.530167,0.452752,-0.5259246,1.494043,0.2082331,-0.6851729,1.415285,0.1054702,-0.6404808,1.384351,
143,0.1063128,-0.1550779,1.568479,0.1114855,-0.1105559,1.625427,0.1067662,0.1984587,1.66552,0.108629,0.4019581,1.596019,-0.05995163,0.09557053,1.664984,0.0916136,-0.09336114,1.54263,0.08895609,-0.2398861,1.389442,0.08807025,-0.2887277,1.342471,0.2731052,0.1017867,1.630628,0.4355894,-0.07176013,1.588902,0.3989741,-0.238493,1.486158,0.312479,-0.2271027,1.456931,0.03168966,-0.2247507,1.554519,-0.0002358072,-0.6294124,1.480257,-0.02709651,-0.9698772,1.404007,-0.02306224,-1.015603,1.315156,0.1808847,-0.2266558,1.539309,0.3781743,-0.5065741,1.459615,0.1583843,-0.6966411,1.393058,0.05961649,-0.6447586,1.365125,
150,0.1063128,-0.1550779,1.568479,0.1114855,-0.1105559,1.625427,0.1067662,0.1984587,1.66552,0.108629,0.4019581,1.596019,-0.05995163,0.09557053,1.664984,0.0916136,-0.09336114,1.54263,0.08895609,-0.2398861,1.389442,0.08807025,-0.2887277,1.342471,0.2731052,0.1017867,1.630628,0.4355894,-0.07176013,1.588902,0.3989741,-0.238493,1.486158,0.312479,-0.2271027,1.456931,0.03168966,-0.2247507,1.554519,-0.0002358072,-0.6294124,1.480257,-0.02709651,-0.9698772,1.404007,-0.02306224,-1.015603,1.315156,0.1808847,-0.2266558,1.539309,0.3781743,-0.5065741,1.459615,0.1583843,-0.6966411,1.393058,0.05961649,-0.6447586,1.365125,
