Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z
423,-0.09015961,-0.1765592,1.596424,-0.08221272,-0.117853,1.611735,-0.05206978,0.1806782,1.599101,0.002963323,0.3658707,1.518963,-0.2312961,0.1382874,1.63065,-0.4720216,0.1275456,1.663889,-0.4586538,0.2710173,1.465646,-0.4566608,0.2979171,1.412841,0.1107633,0.08265544,1.596448,0.3271149,-0.02527242,1.524892,0.550228,-0.09324504,1.442222,0.6248477,-0.1192606,1.413324,-0.1734935,-0.2459357,1.593326,-0.2215841,-0.5173735,1.510877,-0.280497,-0.8498949,1.401333,-0.2937992,-0.8810508,1.314919,-0.02338986,-0.2622814,1.593457,0.01231342,-0.5408855,1.53575,0.05604894,-0.8821679,1.456521,0.05391517,-0.918054,1.371223,
449,-0.08392926,-0.1833734,1.606139,-0.07627688,-0.1247282,1.621051,-0.04718564,0.1733295,1.608391,0.008538533,0.359902,1.527672,-0.2261322,0.130766,1.642547,-0.4662756,0.1246069,1.659486,-0.4680102,0.2404485,1.480571,-0.4638229,0.2935677,1.408248,0.1174922,0.07450131,1.608869,0.3297754,-0.0357651,1.53623,0.512158,-0.1028967,1.4796,0.5867498,-0.1252985,1.44774,-0.1672356,-0.2529203,1.602627,-0.2212782,-0.5251974,1.526826,-0.287437,-0.8585187,1.425479,-0.3015174,-0.8905166,1.339508,-0.01647444,-0.2697235,1.603958,0.01721748,-0.5478971,1.540763,0.05846309,-0.8884369,1.454847,0.05610938,-0.9236189,1.36917,
479,-0.07752645,-0.1882861,1.615569,-0.06948746,-0.1300257,1.631465,-0.03843541,0.1678055,1.623054,0.01411918,0.3528631,1.53705,-0.2204211,0.1254578,1.653584,-0.4589478,0.1168471,1.664535,-0.4695804,0.2324967,1.48237,-0.4747462,0.2734354,1.408682,0.1229756,0.07098994,1.618994,0.3353245,-0.04422607,1.544191,0.5570101,-0.1286247,1.469705,0.6308385,-0.1473855,1.433886,-0.1612221,-0.2576415,1.610637,-0.2168549,-0.530447,1.536798,-0.2849199,-0.8642158,1.437896,-0.2994079,-0.8957481,1.351799,-0.01079423,-0.2740819,1.612504,0.02316353,-0.5527271,1.549956,0.06470975,-0.8936405,1.464868,0.06241366,-0.9283209,1.37895,
504,-0.07246395,-0.1904523,1.624418,-0.06475143,-0.1321764,1.640182,-0.03497761,0.1653287,1.63045,0.01895946,0.3498311,1.544808,-0.2155681,0.1218305,1.663134,-0.4509999,0.1204885,1.660024,-0.4730381,0.2243953,1.479478,-0.4823751,0.2634891,1.410302,0.1292728,0.06916705,1.630267,0.3386163,-0.04922901,1.550845,0.5181965,-0.1240418,1.494707,0.5927233,-0.1453131,1.461848,-0.1557851,-0.2604216,1.619324,-0.2142374,-0.5329838,1.545694,-0.2857034,-0.8662293,1.447096,-0.3002096,-0.8979856,1.361038,-0.005451462,-0.2761768,1.622008,0.0285115,-0.5561714,1.559501,0.06988733,-0.8972785,1.474725,0.06777058,-0.9312255,1.389046,
526,-0.06827355,-0.1931257,1.633687,-0.06036086,-0.1347051,1.649852,-0.02942219,0.1640017,1.641078,0.02313688,0.3487554,1.55416,-0.2105142,0.1206431,1.672391,-0.4465114,0.1219367,1.661502,-0.4742814,0.2219208,1.4794,-0.4855995,0.2567618,1.414693,0.1344944,0.06617135,1.639956,0.3423573,-0.05235179,1.55784,0.5211491,-0.1241794,1.49412,0.595975,-0.1461573,1.462413,-0.1517646,-0.2625996,1.628346,-0.2136409,-0.5339078,1.551315,-0.2892429,-0.8653984,1.448611,-0.3039633,-0.8964282,1.362264,-0.001674314,-0.279406,1.630816,0.03242072,-0.5594639,1.566585,0.07391502,-0.9002997,1.479774,0.07196575,-0.9337647,1.393919,
547,-0.06584555,-0.1946566,1.641322,-0.05769479,-0.1360807,1.657486,-0.02638092,0.1632718,1.64812,0.02716782,0.3476197,1.561255,-0.2059725,0.1201009,1.680828,-0.4277044,0.1213003,1.682315,-0.472191,0.2122153,1.498683,-0.4862223,0.2520984,1.420037,0.1379525,0.06388365,1.646114,0.3461146,-0.05417302,1.563748,0.5244282,-0.1240228,1.495866,0.5998334,-0.1464605,1.465887,-0.1493069,-0.263611,1.63673,-0.211052,-0.534541,1.556832,-0.2864435,-0.8653495,1.450677,-0.3015705,-0.8960446,1.364214,0.0004737966,-0.2814277,1.637992,0.03512067,-0.5625898,1.573634,0.07712957,-0.9034953,1.486905,0.0746104,-0.9362218,1.401236,
569,-0.06584555,-0.1946566,1.641322,-0.05769479,-0.1360807,1.657486,-0.02638092,0.1632718,1.64812,0.02716782,0.3476197,1.561255,-0.2059725,0.1201009,1.680828,-0.4277044,0.1213003,1.682315,-0.472191,0.2122153,1.498683,-0.4862223,0.2520984,1.420037,0.1379525,0.06388365,1.646114,0.3461146,-0.05417302,1.563748,0.5244282,-0.1240228,1.495866,0.5998334,-0.1464605,1.465887,-0.1493069,-0.263611,1.63673,-0.211052,-0.534541,1.556832,-0.2864435,-0.8653495,1.450677,-0.3015705,-0.8960446,1.364214,0.0004737966,-0.2814277,1.637992,0.03512067,-0.5625898,1.573634,0.07712957,-0.9034953,1.486905,0.0746104,-0.9362218,1.401236,
589,-0.06319233,-0.1950995,1.649775,-0.05460279,-0.1364647,1.665878,-0.02167429,0.163155,1.656111,0.03176173,0.3473801,1.568866,-0.2018026,0.1202536,1.689327,-0.4278354,0.1215724,1.682844,-0.472964,0.2181397,1.502475,-0.4846617,0.2502699,1.432101,0.14157,0.06288663,1.652539,0.3511413,-0.05482887,1.569047,0.5664271,-0.1284911,1.496279,0.6372221,-0.1523499,1.457447,-0.1471674,-0.2636052,1.6454,-0.2088237,-0.5343386,1.56349,-0.2840571,-0.8646891,1.454934,-0.2995709,-0.8951361,1.368394,0.002812746,-0.2822694,1.646513,0.03616225,-0.5655707,1.579911,0.07628369,-0.9063991,1.490976,0.07283486,-0.9369168,1.405606,
611,-0.06319233,-0.1950995,1.649775,-0.05460279,-0.1364647,1.665878,-0.02167429,0.163155,1.656111,0.03176173,0.3473801,1.568866,-0.2018026,0.1202536,1.689327,-0.4278354,0.1215724,1.682844,-0.472964,0.2181397,1.502475,-0.4846617,0.2502699,1.432101,0.14157,0.06288663,1.652539,0.3511413,-0.05482887,1.569047,0.5664271,-0.1284911,1.496279,0.6372221,-0.1523499,1.457447,-0.1471674,-0.2636052,1.6454,-0.2088237,-0.5343386,1.56349,-0.2840571,-0.8646891,1.454934,-0.2995709,-0.8951361,1.368394,0.002812746,-0.2822694,1.646513,0.03616225,-0.5655707,1.579911,0.07628369,-0.9063991,1.490976,0.07283486,-0.9369168,1.405606,
654,-0.06051023,-0.193904,1.657617,-0.05158331,-0.1354342,1.674122,-0.01682891,0.1638158,1.665325,0.03659282,0.3467897,1.576334,-0.198222,0.1201945,1.696723,-0.4278851,0.1239389,1.685515,-0.4712976,0.222682,1.505934,-0.4824494,0.2527283,1.444099,0.1469443,0.06522854,1.660058,0.3543376,-0.05460312,1.574669,0.5664869,-0.1279702,1.496938,0.6390163,-0.1514491,1.461185,-0.1453327,-0.2626815,1.652227,-0.2034796,-0.5347852,1.571477,-0.2743844,-0.8665911,1.464391,-0.289432,-0.8971781,1.377805,0.005405114,-0.281135,1.654636,0.03718157,-0.5677153,1.586596,0.07476659,-0.9066809,1.497075,0.07107373,-0.9360412,1.411756,
