Time,HipCenter_x,HipCenter_y,HipCenter_z,Spine_x,Spine_y,Spine_z,ShoulderCenter_x,ShoulderCenter_y,ShoulderCenter_z,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,WristLeft_x,WristLeft_y,WristLeft_z,HandLeft_x,HandLeft_y,HandLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristRight_x,WristRight_y,WristRight_z,HandRight_x,HandRight_y,HandRight_z,HipLeft_x,HipLeft_y,HipLeft_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,FootLeft_x,FootLeft_y,FootLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,FootRight_x,FootRight_y,FootRight_z
329,-0.03501076,0.005633079,1.561306,-0.0408975,0.06852607,1.592148,-0.04927409,0.4061743,1.611389,-0.01994525,0.5690534,1.574669,-0.2221746,0.3161507,1.606839,-0.4949567,0.3343065,1.575221,-0.6744541,0.4430285,1.479353,-0.7310039,0.4965733,1.433622,0.1199275,0.3461379,1.659887,0.3864239,0.3104908,1.719804,0.5991341,0.3836991,1.722405,0.6764536,0.4293273,1.732206,-0.1073611,-0.07285298,1.538725,-0.1428055,-0.4304485,1.521693,-0.1141069,-0.7599524,1.522333,-0.09677417,-0.8023203,1.441217,0.04235002,-0.07063172,1.563532,0.07535971,-0.4467093,1.524093,0.1399857,-0.7519312,1.525071,0.1632258,-0.7918267,1.444179,
349,-0.03501076,0.005633079,1.561306,-0.0408975,0.06852607,1.592148,-0.04927409,0.4061743,1.611389,-0.01994525,0.5690534,1.574669,-0.2221746,0.3161507,1.606839,-0.4949567,0.3343065,1.575221,-0.6744541,0.4430285,1.479353,-0.7310039,0.4965733,1.433622,0.1199275,0.3461379,1.659887,0.3864239,0.3104908,1.719804,0.5991341,0.3836991,1.722405,0.6764536,0.4293273,1.732206,-0.1073611,-0.07285298,1.538725,-0.1428055,-0.4304485,1.521693,-0.1141069,-0.7599524,1.522333,-0.09677417,-0.8023203,1.441217,0.04235002,-0.07063172,1.563532,0.07535971,-0.4467093,1.524093,0.1399857,-0.7519312,1.525071,0.1632258,-0.7918267,1.444179,
385,-0.03906688,-0.0414617,1.570759,-0.04465738,0.02218323,1.603348,-0.04487949,0.365755,1.618016,-0.02056777,0.5604947,1.580744,-0.2293541,0.266267,1.61107,-0.504943,0.3096558,1.573916,-0.6700745,0.4415833,1.47874,-0.7242779,0.4989818,1.43395,0.1246008,0.2912949,1.675621,0.3891822,0.2802138,1.731049,0.6187077,0.3908039,1.729657,0.6953489,0.4372739,1.743988,-0.1155404,-0.1237867,1.54458,-0.1527003,-0.4653092,1.518497,0.03792609,-0.6271705,1.610004,0.01088576,-0.5892651,1.512294,0.03935958,-0.1216773,1.572984,0.06941757,-0.4624821,1.523475,0.2437876,-0.759635,1.516013,0.2834794,-0.7872984,1.435281,
422,-0.03874908,-0.09183334,1.572959,-0.04564264,-0.0306558,1.608223,-0.04780777,0.3048399,1.624685,-0.02423404,0.4989392,1.595879,-0.2362196,0.2079465,1.611733,-0.507762,0.2672595,1.569725,-0.6551427,0.4245114,1.483973,-0.709693,0.4881219,1.439858,0.1268004,0.2305634,1.682119,0.387757,0.2342028,1.735349,0.6438515,0.3877921,1.74111,0.7192713,0.4429537,1.756513,-0.1172705,-0.1741277,1.542477,-0.154977,-0.4863114,1.516565,-0.2002817,-0.8614036,1.475305,-0.1915361,-0.9041729,1.38771,0.04354859,-0.1748966,1.576334,0.07067672,-0.488253,1.524059,0.1030423,-0.8621065,1.451451,0.1223828,-0.8955613,1.362489,
459,-0.03511916,-0.1436563,1.578226,-0.04452066,-0.08414891,1.615911,-0.05573792,0.248236,1.634294,-0.03036152,0.4413043,1.60448,-0.2422586,0.1517969,1.615287,-0.5095665,0.2296114,1.560655,-0.6586951,0.4103588,1.472279,-0.7058334,0.4729149,1.437382,0.1266712,0.1705567,1.689681,0.3874551,0.1905727,1.737097,0.6397889,0.3669596,1.742505,0.693826,0.4083117,1.756142,-0.1125872,-0.2291566,1.545475,-0.1489412,-0.5438322,1.518093,-0.1925275,-0.9211094,1.475114,-0.1828392,-0.9636341,1.386865,0.05115442,-0.2255191,1.58136,0.07346119,-0.5388764,1.525055,0.1002057,-0.914573,1.447399,0.1197903,-0.949405,1.357224,
500,-0.04482552,-0.1943742,1.593104,-0.05373315,-0.1359824,1.633738,-0.0625311,0.193455,1.647699,-0.03631836,0.3934694,1.609906,-0.2451014,0.09928821,1.630444,-0.4974509,0.1186972,1.551316,-0.6351447,0.2753185,1.443958,-0.680836,0.3466108,1.40836,0.1143642,0.1203791,1.697443,0.3793516,0.1068674,1.740352,0.6380978,0.2737903,1.722696,0.6940049,0.3105268,1.734288,-0.1228618,-0.275913,1.563558,-0.2462749,-0.6328449,1.53344,-0.3550553,-0.9474561,1.492591,-0.3576342,-0.9832326,1.40305,0.04132716,-0.2716881,1.593383,0.08505869,-0.6415929,1.515548,0.1236051,-0.9676389,1.432639,0.1431799,-0.9939944,1.34194,
525,-0.05020519,-0.204932,1.598798,-0.05879592,-0.1468945,1.640385,-0.0657751,0.1805151,1.650732,-0.037509,0.381901,1.61151,-0.2464612,0.08590699,1.636679,-0.496693,0.089514,1.551026,-0.6420156,0.2192917,1.419971,-0.6894927,0.2811804,1.371599,0.1100988,0.1054927,1.700557,0.3831605,0.08634866,1.740407,0.5955899,0.166743,1.710992,0.670471,0.2197696,1.713242,-0.1293691,-0.2865776,1.572344,-0.2521797,-0.6453208,1.535143,-0.3600149,-0.9603189,1.488166,-0.3623544,-0.9948726,1.398018,0.03498976,-0.283684,1.598617,0.08871859,-0.6532373,1.515432,0.1358958,-0.9777275,1.428078,0.1558713,-1.003337,1.337131,
546,-0.05020519,-0.204932,1.598798,-0.05879592,-0.1468945,1.640385,-0.0657751,0.1805151,1.650732,-0.037509,0.381901,1.61151,-0.2464612,0.08590699,1.636679,-0.496693,0.089514,1.551026,-0.6420156,0.2192917,1.419971,-0.6894927,0.2811804,1.371599,0.1100988,0.1054927,1.700557,0.3831605,0.08634866,1.740407,0.5955899,0.166743,1.710992,0.670471,0.2197696,1.713242,-0.1293691,-0.2865776,1.572344,-0.2521797,-0.6453208,1.535143,-0.3600149,-0.9603189,1.488166,-0.3623544,-0.9948726,1.398018,0.03498976,-0.283684,1.598617,0.08871859,-0.6532373,1.515432,0.1358958,-0.9777275,1.428078,0.1558713,-1.003337,1.337131,
573,-0.05447615,-0.2140114,1.606335,-0.06296372,-0.1561201,1.648886,-0.0681967,0.1710473,1.6567,-0.04132539,0.3716735,1.611294,-0.2471512,0.07726029,1.640635,-0.4929979,0.06771548,1.548325,-0.6440673,0.1682384,1.397634,-0.6929224,0.2241013,1.34381,0.1064131,0.09627432,1.703665,0.378306,0.06517977,1.737831,0.6146296,0.1505196,1.699251,0.690518,0.2013715,1.706969,-0.1337732,-0.2950135,1.581624,-0.2559651,-0.6550135,1.535174,-0.3628352,-0.9698725,1.48023,-0.3644781,-1.002957,1.389467,0.03054115,-0.2913492,1.604712,0.09115517,-0.6604629,1.515922,0.1441687,-0.9832927,1.423948,0.1646323,-1.008148,1.332851,
609,-0.05702195,-0.2203434,1.614246,-0.06544805,-0.1617992,1.656989,-0.0687896,0.1665472,1.65998,-0.0433013,0.3670204,1.612144,-0.2470835,0.07182328,1.642889,-0.4872942,0.05130308,1.544006,-0.6402514,0.1465691,1.392116,-0.6914028,0.1927152,1.3318,0.10372,0.09031206,1.70637,0.3694456,0.05095803,1.734638,0.589094,0.1057443,1.699591,0.6717607,0.1451165,1.699478,-0.1360303,-0.3003453,1.591087,-0.2597604,-0.6607072,1.537245,-0.367561,-0.9746743,1.476007,-0.3684655,-1.006985,1.384932,0.02663435,-0.2980491,1.613557,0.09381308,-0.6661111,1.517697,0.1523429,-0.9867871,1.419851,0.1734421,-1.011112,1.328733,
