8573182739245884.0,-5989981212020919.0,2021882.6549862619,-5989981212020919.0,4185129114894884.0,-1413399.784611202,2021882.6549862619,-1413399.784611202,0.00576779099659809,NONE
9926771360835008.0,-6046025424707081.0,1090836.1565528722,-6046025424707081.0,3682408317854804.0,-665096.367917992,1090836.1565528722,-665096.367917992,0.005182528262818261,NONE
1.0081261520839778e+16,-6121527121208271.0,1052467.7636670906,-6121527121208271.0,3717103878852668.0,-639760.8660334824,1052467.7636670906,-639760.8660334824,0.004941928335998638,NONE
8386304862720608.0,-6075718265982589.0,2145065.900654544,-6075718265982589.0,4401742457417475.5,-1554744.065174919,2145065.900654544,-1554744.065174919,0.005378141922614077,NONE
6913223612466706.0,-5637763166227759.0,2643405.7559516914,-5637763166227759.0,4597619978072037.0,-2156400.597487581,2643405.7559516914,-2156400.597487581,0.005829579528956348,NONE
6164980881812321.0,-5190696555694089.0,2638751.339517235,-5190696555694089.0,4370383719494076.0,-2222428.1324423384,2638751.339517235,-2222428.1324423384,0.005722446540366182,NONE
5888349169689180.0,-4955756489619536.0,2633919.055784548,-4955756489619536.0,4170867414432290.5,-2217447.1302809254,2633919.055784548,-2217447.1302809254,0.005679842498827407,NONE
5880962944799569.0,-4909025846370575.0,2688798.6804333446,-4909025846370575.0,4097719418462712.0,-2245110.8548333375,2688798.6804333446,-2245110.8548333375,0.005833824704190978,NONE
5628764618125479.0,-4817170079616808.0,2765191.640947201,-4817170079616808.0,4122597122575111.0,-2367154.856663319,2765191.640947201,-2367154.856663319,0.006057261830418523,NONE
5105517985165706.0,-4567596355804666.0,2866574.282181752,-4567596355804666.0,4086350817377662.0,-2565181.2042147224,2866574.282181752,-2565181.2042147224,0.006092990770208563,NONE
4574883053469183.0,-4231433799512233.5,2901981.9283538912,-4231433799512233.5,3913768460556296.5,-2684719.221627026,2901981.9283538912,-2684719.221627026,0.006154095654037122,NONE
4251664034753077.0,-3923655045097524.5,2869432.3129301546,-3923655045097524.5,3620951636841246.5,-2648648.137035451,2869432.3129301546,-2648648.137035451,0.006435473814085091,NONE
4112612910140914.5,-3778921313808186.5,2877605.0843965197,-3778921313808186.5,3472305200629072.0,-2644693.9328163643,2877605.0843965197,-2644693.9328163643,0.0066715321077678025,NONE
3866482865483157.5,-3586315924635939.0,2829041.3980157515,-3586315924635939.0,3326450210767388.5,-2624614.7436812227,2829041.3980157515,-2624614.7436812227,0.006883481449036141,NONE
3579717570174293.5,-3388800905345445.5,2751426.55565865,-3388800905345445.5,3208066588967773.0,-2605239.5273005553,2751426.55565865,-2605239.5273005553,0.0068599735747655165,NONE
3414892305753021.5,-3266517126003633.5,2685136.178168831,-3266517126003633.5,3124588977312222.5,-2569009.4445351856,2685136.178168831,-2569009.4445351856,0.0068939903208687274,NONE
3406039166943591.5,-3245980388041086.0,2704034.846565437,-3245980388041086.0,3093443407583946.0,-2577485.6687680604,2704034.846565437,-2577485.6687680604,0.0068645605655603915,NONE
3363439592016035.0,-3213483104377255.5,2711906.22095104,-3213483104377255.5,3070212531721079.5,-2591510.9844238167,2711906.22095104,-2591510.9844238167,0.0069251957744693084,NONE
3309263546985255.5,-3191298221720336.5,2725229.647344702,-3191298221720336.5,3077538222018710.0,-2628584.5680826204,2725229.647344702,-2628584.5680826204,0.006881011298678208,NONE
3270728196021715.5,-3206838244030207.0,2754404.1144417785,-3206838244030207.0,3144196527030064.0,-2701072.5883112503,2754404.1144417785,-2701072.5883112503,0.0067767049035980355,NONE
3216962212943879.5,-3219086010744852.5,2763626.0713893566,-3219086010744852.5,3221211430586692.5,-2765896.2876064503,2763626.0713893566,-2765896.2876064503,0.006691536025924108,NONE
3201100359973826.5,-3255605974441431.5,2776225.0737328003,-3255605974441431.5,3311039886343876.0,-2823923.2554090326,2776225.0737328003,-2823923.2554090326,0.0066806007909036074,NONE
3259866253368663.0,-3324929499435453.0,2823228.749367872,-3324929499435453.0,3391291558218113.0,-2879991.3794870297,2823228.749367872,-2879991.3794870297,0.006666235972031697,NONE
3332581091537241.5,-3406647261133299.0,2887284.478176368,-3406647261133299.0,3482359768383945.0,-2951853.0739287627,2887284.478176368,-2951853.0739287627,0.006535598181759382,NONE
3357141314723091.5,-3467610504654469.5,2903018.162423518,-3467610504654469.5,3581714994326488.0,-2998932.372067008,2903018.162423518,-2998932.372067008,0.006357685122665866,NONE
3243026973851403.0,-3457069492163264.5,2848456.010555022,-3457069492163264.5,3685239229485724.5,-3036794.7984519713,2848456.010555022,-3036794.7984519713,0.006150684194394302,NONE
3172974834787236.0,-3483179575997312.5,2811021.4316198085,-3483179575997312.5,3823711603558939.5,-3086125.5228860774,2811021.4316198085,-3086125.5228860774,0.006080405686258818,NONE
3255040486654198.0,-3614176520033226.0,2818112.3251595567,-3614176520033226.0,4012937079913892.0,-3129287.4848814374,2818112.3251595567,-3129287.4848814374,0.006010631620899267,NONE
3030623457475081.0,-3521135827310084.0,2733206.8658377468,-3521135827310084.0,4091038820907856.0,-3175817.061811077,2733206.8658377468,-3175817.061811077,0.006007460605459706,NONE
2635007275630590.0,-3265303799375239.5,2595999.483697406,-3265303799375239.5,4046368153858467.5,-3217181.201297704,2595999.483697406,-3217181.201297704,0.00600143906139071,NONE
2321695616015562.5,-3034201329703602.0,2492949.243072406,-3034201329703602.0,3965368331185997.0,-3258212.2777399546,2492949.243072406,-3258212.2777399546,0.006002422012667618,NONE
