HipCenterXPosition, HipCenterYPosition, HipCenterZPosition, SpineXPosition, SpineYPosition, SpineZPosition, ShoulderCenterXPosition, ShoulderCenterYPosition, ShoulderCenterZPosition, HeadXPosition, HeadYPosition, HeadZPosition, ShoulderLeftX Position,ShoulderLeftYPosition, ShoulderLeftZPosition, ElbowLeftXPosition, ElbowLeftYPosition, ElbowLeftZPosition, WristLeftXPosition, WristLeftYPosition, WristLeftZPosition, HandLeftXPosition, HandLeftYPosition, HandLeftZPosition, ShoulderRightXPosition, ShoulderRightYPosition, ShoulderRightZPosition, ElbowRightXPosition, ElbowRightYPosition, ElbowRightZPosition, WristRightXPosition, WristRightYPosition, WristRightZPosition, HandRightXPosition, HandRightYPosition, HandRightZPosition, HipLeftXPosition, HipLeftYPosition, HipLeftZPosition, KneeLeftXPosition, KneeLeftYPosition, KneeLeftZPosition, AnkleLeftXPosition, AnkleLeftYPosition, AnkleLeftZPosition, FootLeftXPosition, FootLeftYPosition, FootLeftZPosition, HipRightXPosition, HipRightYPosition, HipRightZPosition, KneeRightXPosition, KneeRightYPosition, KneeRightZPosition, AnkleRightXPosition, AnkleRightYPosition, AnkleRightZPosition, FootRightXPosition, FootRightYPosition, FootRightZPosition, drop_this_col
-0.3475047,-0.01441318,1.7318,-0.3570316,0.0621231,1.725436,-0.4046665,0.4448045,1.710491,-0.3915499,0.6236615,1.734753,-0.4384845,0.2753231,1.599495,-0.4917006,0.03123137,1.538941,-0.4960541,-0.2205601,1.521654,-0.496091,-0.2810247,1.536168,-0.3020622,0.3000975,1.776068,-0.2670599,0.05060443,1.756697,-0.2413364,-0.1067542,1.938103,-0.2327619,-0.1592071,2.003174,-0.3722024,-0.0681672,1.695377,-0.5145651,-0.5468489,1.926258,-0.6838351,-0.7719123,1.928888,-0.7556417,-0.7362689,1.911774,-0.3108124,-0.05701872,1.769797,-0.261775,-0.4649585,1.744065,-0.1432016,-0.8149579,1.818078,-0.0659412,-0.8725872,1.777433,
-0.3475047,-0.01441318,1.7318,-0.3570316,0.0621231,1.725436,-0.4046665,0.4448045,1.710491,-0.3915499,0.6236615,1.734753,-0.4384845,0.2753231,1.599495,-0.4917006,0.03123137,1.538941,-0.4960541,-0.2205601,1.521654,-0.496091,-0.2810247,1.536168,-0.3020622,0.3000975,1.776068,-0.2670599,0.05060443,1.756697,-0.2413364,-0.1067542,1.938103,-0.2327619,-0.1592071,2.003174,-0.3722024,-0.0681672,1.695377,-0.5145651,-0.5468489,1.926258,-0.6838351,-0.7719123,1.928888,-0.7556417,-0.7362689,1.911774,-0.3108124,-0.05701872,1.769797,-0.261775,-0.4649585,1.744065,-0.1432016,-0.8149579,1.818078,-0.0659412,-0.8725872,1.777433,
-0.2895651,-0.005679421,1.734438,-0.3014135,0.07058883,1.726714,-0.3651275,0.451206,1.705514,-0.3227973,0.6255497,1.736925,-0.3924603,0.2815757,1.597887,-0.4331295,0.04525916,1.542479,-0.416314,-0.1792318,1.522542,-0.419346,-0.2575698,1.539815,-0.2454663,0.2894034,1.790526,-0.2193571,0.04950872,1.755029,-0.181424,-0.117659,1.791793,-0.1757592,-0.1751719,1.805241,-0.3150087,-0.05401961,1.702005,-0.4294275,-0.4363119,1.878785,-0.5836738,-0.7325218,1.929216,-0.5165622,-0.7753044,1.882307,-0.249633,-0.05060199,1.770067,-0.2240348,-0.426344,1.738903,-0.1660812,-0.7681366,1.795942,-0.09494682,-0.8249632,1.75722,
-0.2895651,-0.005679421,1.734438,-0.3014135,0.07058883,1.726714,-0.3651275,0.451206,1.705514,-0.3227973,0.6255497,1.736925,-0.3924603,0.2815757,1.597887,-0.4331295,0.04525916,1.542479,-0.416314,-0.1792318,1.522542,-0.419346,-0.2575698,1.539815,-0.2454663,0.2894034,1.790526,-0.2193571,0.04950872,1.755029,-0.181424,-0.117659,1.791793,-0.1757592,-0.1751719,1.805241,-0.3150087,-0.05401961,1.702005,-0.4294275,-0.4363119,1.878785,-0.5836738,-0.7325218,1.929216,-0.5165622,-0.7753044,1.882307,-0.249633,-0.05060199,1.770067,-0.2240348,-0.426344,1.738903,-0.1660812,-0.7681366,1.795942,-0.09494682,-0.8249632,1.75722,
-0.2288673,0.000509385,1.744085,-0.2428663,0.07665882,1.734389,-0.3128611,0.4574059,1.701556,-0.2674748,0.6156309,1.730532,-0.3470164,0.2899993,1.594618,-0.3717734,0.06832556,1.545164,-0.3402084,-0.1108282,1.51887,-0.3136372,-0.159853,1.511682,-0.2151011,0.3029259,1.784486,-0.1770747,0.08189298,1.75285,-0.134976,-0.1117278,1.786805,-0.1264123,-0.182468,1.813429,-0.2516007,-0.04699406,1.714608,-0.3608501,-0.4598579,1.908378,-0.5125018,-0.7218035,1.924324,-0.448197,-0.7613297,1.883429,-0.1899629,-0.03995207,1.779286,-0.1959873,-0.4323857,1.739631,-0.1761517,-0.6681271,1.760861,-0.1118468,-0.7076533,1.719966,
-0.2288673,0.000509385,1.744085,-0.2428663,0.07665882,1.734389,-0.3128611,0.4574059,1.701556,-0.2674748,0.6156309,1.730532,-0.3470164,0.2899993,1.594618,-0.3717734,0.06832556,1.545164,-0.3402084,-0.1108282,1.51887,-0.3136372,-0.159853,1.511682,-0.2151011,0.3029259,1.784486,-0.1770747,0.08189298,1.75285,-0.134976,-0.1117278,1.786805,-0.1264123,-0.182468,1.813429,-0.2516007,-0.04699406,1.714608,-0.3608501,-0.4598579,1.908378,-0.5125018,-0.7218035,1.924324,-0.448197,-0.7613297,1.883429,-0.1899629,-0.03995207,1.779286,-0.1959873,-0.4323857,1.739631,-0.1761517,-0.6681271,1.760861,-0.1118468,-0.7076533,1.719966,
-0.2060085,0.009617855,1.743117,-0.2182382,0.08551341,1.733168,-0.2778171,0.4646479,1.697958,-0.2053456,0.6027527,1.736893,-0.3008676,0.2977019,1.596546,-0.3076114,0.07914008,1.547332,-0.2635572,-0.09268125,1.524441,-0.2457506,-0.1449377,1.516173,-0.1533428,0.3035662,1.801198,-0.1326563,0.0854328,1.756233,-0.09168333,-0.1224583,1.803515,-0.07883573,-0.1729581,1.823537,-0.2319551,-0.03974929,1.711557,-0.3055801,-0.4483463,1.900797,-0.5054637,-0.7298681,1.920671,-0.4431835,-0.7690617,1.879721,-0.1652384,-0.03515612,1.781551,-0.1914014,-0.4265678,1.736096,-0.1637151,-0.6491531,1.755398,-0.1014349,-0.6883467,1.714448,
-0.2060085,0.009617855,1.743117,-0.2182382,0.08551341,1.733168,-0.2778171,0.4646479,1.697958,-0.2053456,0.6027527,1.736893,-0.3008676,0.2977019,1.596546,-0.3076114,0.07914008,1.547332,-0.2635572,-0.09268125,1.524441,-0.2457506,-0.1449377,1.516173,-0.1533428,0.3035662,1.801198,-0.1326563,0.0854328,1.756233,-0.09168333,-0.1224583,1.803515,-0.07883573,-0.1729581,1.823537,-0.2319551,-0.03974929,1.711557,-0.3055801,-0.4483463,1.900797,-0.5054637,-0.7298681,1.920671,-0.4431835,-0.7690617,1.879721,-0.1652384,-0.03515612,1.781551,-0.1914014,-0.4265678,1.736096,-0.1637151,-0.6491531,1.755398,-0.1014349,-0.6883467,1.714448,
-0.1692861,0.009910756,1.759099,-0.1788758,0.08738896,1.74733,-0.2265931,0.4757354,1.702438,-0.1855381,0.6223106,1.732068,-0.2599094,0.3070908,1.600609,-0.2377307,0.06262064,1.548281,-0.1592437,-0.1505299,1.549341,-0.1153009,-0.2109932,1.568805,-0.1191142,0.3388349,1.787789,-0.07607586,0.09561765,1.764972,-0.04856329,-0.1122887,1.81763,-0.02827428,-0.1729897,1.83278,-0.1921157,-0.04075457,1.732765,-0.1215142,-0.4996924,1.765468,-0.3367957,-0.6623341,1.913326,-0.2745349,-0.7033902,1.869924,-0.1351071,-0.02851724,1.793933,-0.1853549,-0.3649316,1.724557,-0.156691,-0.6393664,1.754933,-0.09443015,-0.6804225,1.711531,
-0.1692861,0.009910756,1.759099,-0.1788758,0.08738896,1.74733,-0.2265931,0.4757354,1.702438,-0.1855381,0.6223106,1.732068,-0.2599094,0.3070908,1.600609,-0.2377307,0.06262064,1.548281,-0.1592437,-0.1505299,1.549341,-0.1153009,-0.2109932,1.568805,-0.1191142,0.3388349,1.787789,-0.07607586,0.09561765,1.764972,-0.04856329,-0.1122887,1.81763,-0.02827428,-0.1729897,1.83278,-0.1921157,-0.04075457,1.732765,-0.1215142,-0.4996924,1.765468,-0.3367957,-0.6623341,1.913326,-0.2745349,-0.7033902,1.869924,-0.1351071,-0.02851724,1.793933,-0.1853549,-0.3649316,1.724557,-0.156691,-0.6393664,1.754933,-0.09443015,-0.6804225,1.711531,
